Speices,Collection_Sample,gDNA_Sample,micro1,micro2
AA,AA147,AduAA03,Borrelia lonestari,Rickettsia amblyommatis
AA,AA359,AduAA13,Babesia sp.,Rickettsia amblyommatis
AA,AA1009,AduAA28,Babesia sp.,Rickettsia amblyommatis
AA,AA1091,AduAA35,Borrelia lonestari,Rickettsia amblyommatis
AA,AA633,AduAA54,Babesia sp.,Rickettsia amblyommatis
AA,AA752,AduAA86,Theileria cervi,Rickettsia amblyommatis
AA,AA47,AduAA102,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA164,AduAA103,Rickettsia parkeri,Rickettsia amblyommatis
AA,AA183,AduAA111,Borrelia lonestari,Rickettsia amblyommatis
AA,AA339,AduAA118,Theileria cervi,Rickettsia amblyommatis
AA,AA577,AduAA124,Rickettsia parkeri,Rickettsia amblyommatis
AA,AA578,AduAA125,Theileria cervi,Rickettsia amblyommatis
AA,AA615,AduAA133,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA939,AduAA144,Ehrlichia chaffeensis,Rickettsia amblyommatis
AA,AA940,AduAA145,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA942,AduAA147,Theileria cervi,Rickettsia amblyommatis
AA,AA1172,AduAA156,Theileria cervi,Rickettsia amblyommatis
AA,AA1158,AduAA160,Borrelia lonestari,Rickettsia amblyommatis
AA,AA1456,AduAA179,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1478,AduAA186,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1482,AduAA189,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA1484,AduAA191,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1613,AduAA192,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA1614,AduAA193,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA1615,AduAA194,Borrelia lonestari,Rickettsia amblyommatis
AA,AA1603,AduAA200,Ehrlichia chaffeensis,Theileria cervi
AA,AA7,AduAA208,Ehrlichia chaffeensis,Rickettsia amblyommatis
AA,AA75,AduAA211,Ehrlichia  sp. PanolaMtn,Rickettsia amblyommatis
AA,AA671,AduAA231,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA673,AduAA233,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA675,AduAA235,Theileria cervi,Rickettsia amblyommatis
AA,AA1282,AduAA246,Theileria cervi,Rickettsia amblyommatis
AA,AA1671,AduAA252,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1694,AduAA274,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA25,AduAA281,Theileria cervi,Rickettsia amblyommatis
AA,AA26,AduAA282,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA411,AduAA317,Ehrlichia chaffeensis,Rickettsia amblyommatis
AA,AA853,AduAA334,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA1099,AduAA343,Theileria cervi,Rickettsia amblyommatis
AA,AA1329,AduAA372,Theileria cervi,Rickettsia amblyommatis
AA,AA1364,AduAA380,Theileria cervi,Rickettsia amblyommatis
AA,AA1366,AduAA382,Theileria cervi,Rickettsia amblyommatis
AA,AA1374,AduAA390,Ehrlichia chaffeensis,Rickettsia amblyommatis
AA,AA1538,AduAA408,Theileria cervi,Rickettsia amblyommatis
AA,AA1029,AduAA464,Babesia sp.,Rickettsia amblyommatis
AA,AA1495,AduAA473,Ehrlichia ewingii,Rickettsia amblyommatis
AA,AA321,NymAA12,Theileria cervi,Rickettsia amblyommatis
AA,AA365,NymAA18,Babesia sp.,Rickettsia amblyommatis
AA,AA372,NymAA24,Rickettsia parkeri,Rickettsia amblyommatis
AA,AA390,NymAA29,Theileria cervi,Rickettsia amblyommatis
AA,AA782,NymAA41,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA1243,NymAA84,Theileria cervi,Rickettsia amblyommatis
AA,AA1382,NymAA91,Babesia sp.,Rickettsia amblyommatis
AA,AA1579,NymAA95,Theileria cervi,Rickettsia amblyommatis
AA,AA640,NymAA110,Ehrlichia  sp. PanolaMtn,Rickettsia amblyommatis
AA,AA758,NymAA172,Theileria cervi,Rickettsia amblyommatis
AA,AA1258,NymAA188,Theileria cervi,Rickettsia amblyommatis
AA,AA1493,NymAA215,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA65,NymAA216,Theileria cervi,Rickettsia amblyommatis
AA,AA51,NymAA220,Ehrlichia ewingii,Ehrlichia  sp. PanolaMtn
AA,AA59,NymAA228,Theileria cervi,Rickettsia amblyommatis
AA,AA195,NymAA236,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA590,NymAA246,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA625,NymAA252,Theileria cervi,Rickettsia amblyommatis
AA,AA959,NymAA260,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1200,NymAA274,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1625,NymAA290,Babesia sp.,Rickettsia amblyommatis
AA,AA680,NymAA335,Babesia sp.,Rickettsia amblyommatis
AA,AA739,NymAA337,Theileria cervi,Rickettsia amblyommatis
AA,AA1056,NymAA351,Theileria cervi,Rickettsia amblyommatis
AA,AA1142,NymAA476,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1384,NymAA479,Babesia sp. Coco,Rickettsia amblyommatis
AA,AA1386,NymAA481,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1400,NymAA495,Theileria cervi,Rickettsia amblyommatis
AA,AA336,NymAA527,Hepatozoon  sp.,Rickettsia amblyommatis
AA,AA1039,NymAA555,Theileria cervi,Rickettsia amblyommatis
