Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
AM01,AM01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AM02,AM02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV01,DV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV02,DV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV03,DV03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV04,DV04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV05,DV05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DV06,DV06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV07,DV07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV08,DV08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV09,DV09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV10,DV10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DV11,DV11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV12,DV12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV13,DV13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV14,DV14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DV15,DV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV16,DV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV17,DV17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DV18,DV18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAE01,HAE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA01,IA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IS01,IS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS02,IS02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS03,IS03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS04,IS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS05,IS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS06,IS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS07,IS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS08,IS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS09,IS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS10,IS10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS11,IS11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS12,IS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS13,IS13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS14,IS14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS15,IS15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS16,IS16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS17,IS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS18,IS18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS19,IS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS20,IS20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS21,IS21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS22,IS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS23,IS23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS24,IS24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS25,IS25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS26,IS26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS27,IS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS28,IS28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS29,IS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS30,IS30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS31,IS31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS32,IS32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS33,IS33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS34,IS34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS35,IS35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS36,IS36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS37,IS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS38,IS38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS39,IS39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS40,IS40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS41,IS41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS42,IS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS43,IS43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS44,IS44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS45,IS45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS46,IS46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS47,IS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS48,IS48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS49,IS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS50,IS50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
