Site,Site_ID,Easting,Northing,Field_Type,Forest250m,Forest500m,Forest1km,Forest2km,Forest3km,Forest4km,PC1_250m,PC2_250m,PC1_500m,PC2_500m,PC1_1km,PC2_1km,PC1_2km,PC2_2km,PC1_3km,PC2_3km,PC1_4km,PC2_4km
Reserve Park,RP,373075.456,3281598.211,Manicured,0,0.025997196,0.009046603,0.047877635,0.152386413,0.249713814,3.088839862,1.254036655,-2.228564269,1.147721572,-2.223781722,0.833890051,-2.234597258,0.296342562,-1.657926165,0.214777363,-1.710128019,-0.049528853
University Gardens,UG,368561.68,3280165.946,Manicured,0.405915349,0.228083588,0.132940615,0.152908949,0.143244429,0.154173087,1.104244962,-2.718907069,-1.691885419,-4.173930098,-1.991226032,-1.90230643,-1.876065712,-0.084494222,-1.852967754,-0.297521373,-1.857085476,-0.118051166
Hogtown Creek,HT,370033.69,3285927.531,Manicured,0.679389313,0.468984843,0.174897316,0.249490397,0.275391862,0.334089805,-0.4720229,0.261825973,-0.181146556,0.151157732,-1.401342675,0.040341955,-0.804553574,-0.19268275,-0.524139834,0.062476048,-0.197338043,0.091758256
Possum Creek Park ,PC,365990.045,3286586.431,Manicured,0.484231943,0.324544644,0.31713221,0.177513756,0.241693062,0.282219678,0.582361763,0.034268439,-0.871874334,0.059225241,-0.518745698,0.442833574,-0.836817982,-0.259763428,-0.441908133,0.11303452,-0.269174726,0.273119289
Fred Cone Park,FC,375389.645,3280603.043,Manicured,0.15255102,0.458402344,0.415052873,0.400321723,0.428570417,0.435761753,1.091484457,-0.030893968,0.704652615,0.751430213,0.271048005,-0.969447156,0.208539023,0.289460916,0.27532958,0.367392582,-0.288501864,0.315359171
Green Acres Park ,GA,366138.748,3280293.746,Manicured,0.635204082,0.565633372,0.459594672,0.263299567,0.237796073,0.219717345,-0.235845511,0.560202787,0.366511615,0.536146319,0.577203863,0.238989282,-1.221318527,0.067814146,-1.52032143,-0.177334262,-1.386906735,-0.040923101
Morning Side Nature Center ,MSM,376481.866,3281179.443,Manicured,0.767241379,0.705665181,0.68771092,0.580234725,0.517954907,0.435886717,-1.493040214,-0.32037759,1.701480795,-0.493275205,1.657491423,0.245780516,1.28393697,0.517478095,1.224410366,0.52770414,0.59990613,-0.371844198
Dudley Farm State Park ,DF,350803.866,3281710.65,Manicured,0.44173028,0.341867278,0.491083938,0.672457722,0.655040982,0.587593566,0.285699916,1.723460751,0.819097609,1.568538867,2.398066896,2.931984369,3.065425384,3.076240822,3.766019356,2.738866053,3.871810812,2.625832336
Longleaf Flatwood Reserve ,LL,384711.64,3271217.668,Manicured,0.895886237,0.916709119,0.847621171,0.797517239,0.807932839,0.77223702,-1.729533675,-0.404235755,2.253390109,-0.326912097,2.909203267,-0.154801012,3.160489056,0.200624058,3.619421575,0.062399349,3.73355551,0.323095278
Harmonic Woods,HW,368535.581,3280276.06,Natural,0.289714868,0.192332187,0.13067856,0.154384596,0.144175264,0.149144829,1.665889971,-2.06852807,-1.906240026,-3.526969938,-2.061078445,-1.891896058,-1.906823452,4.29E-05,-1.849213588,-0.252846223,-1.891989745,-0.118305919
29th Road Nature Park,29RD,370183.119,3284095.102,Natural,0.338430173,0.176860347,0.106867554,0.095153161,0.136876006,0.174333625,1.425793813,-0.012354915,-1.673928098,0.235897748,-1.615585318,0.751046307,-1.767263219,0.338616991,-1.39190266,0.32961476,-1.619183655,0.161921014
John Mahon Nature Park,JM,365649.8717,3281144.334,Natural,0.286006129,0.133537207,0.188479674,0.240290818,0.222320926,0.217040837,1.588043242,0.453329571,-1.556364704,0.454184798,-0.631783231,0.009163784,-1.031274964,0.150794044,-1.466196535,-0.085199547,-1.536900057,0.155705893
Sweetwater Preserve,SW,372417.461,3278201.891,Natural,0.856195818,0.748852626,0.50224601,0.330814074,0.286808975,0.247423809,-1.623752704,-0.191200777,1.760864824,1.716451299,0.459955002,-0.376225263,0.2139075,-0.818099771,0.268879545,-1.644189575,0.217820057,-1.553941099
Split Rock Consevation Area,SR,363584.586,3279533.21,Natural,0.531600408,0.499872514,0.452095808,0.388320831,0.285284509,0.257551717,-0.392945856,0.491146297,0.967972746,-0.144806785,0.932811568,0.03269824,0.44182845,-0.019709413,-0.618145094,-0.16559339,-1.043698143,0.160848121
Morning Side Nature Center ,MSN,376591.536,3281485.376,Natural,0.736976507,0.754301007,0.725277875,0.602931925,0.515150979,0.424606595,-1.801513871,-0.061996342,2.293472456,-0.687320123,1.77659123,0.386758007,1.529046399,0.614206953,1.056933298,0.403585663,0.543387032,-0.459403802
San Felasco Preserve State Park (N of Millhopper),SF,358759.8443,3288083,Natural,0.942827973,0.923194498,0.870385118,0.668495616,0.661813111,0.627674188,-1.69255317,-0.509982618,1.912875762,-0.172092863,2.271131455,0.297380497,2.471745279,1.796488016,2.686715964,1.633730146,2.521479442,1.722299577
Paynes Prairie Preserve State Park (Southside),PP,375373.503,3267131.455,Natural,0.835881753,0.696178344,0.600216581,0.612657159,0.562935516,0.506637045,-1.718545247,-0.304558794,2.466464762,-1.117953862,3.064652677,-1.337664705,3.279503875,-3.385901885,2.984706244,-2.226499098,3.403080937,-1.59372109
Hatchet Creek Wildlife Management Area,HC,381436.4813,3285054.864,Natural,0.833163265,0.431122449,0.445159441,0.49585434,0.527513016,0.513893119,-1.418397902,-1.300869088,2.242575581,-2.597495182,3.077507866,-2.389955473,3.622133445,-3.714921919,3.440692814,-5.088956588,4.282189685,-4.657029089
