Site,sampled,Site_ID,Field_Type,p100m_1,p100m_2,p100m_3,p100m_4,p100m_5,p100m_6,p100m_7,p250m_1,p250m_2,p250m_3,p250m_4,p250m_5,p250m_6,p250m_7,p500m_1,p500m_2,p500m_3,p500m_4,p500m_5,p500m_6,p500m_7,p1km_1,p1km_2,p1km_3,p1km_4,p1km_5,p1km_6,p1km_7,p1.5km_1,p1.5km_2,p1.5km_3,p1.5km_4,p1.5km_5,p1.5km_6,p1.5km_7,p2km_1,p2km_2,p2km_3,p2km_4,p2km_5,p2km_6,p2km_7,p2.5km_1,p2.5km_2,p2.5km_3,p2.5km_4,p2.5km_5,p2.5km_6,p2.5km_7,p3km_1,p3km_2,p3km_3,p3km_4,p3km_5,p3km_6,p3km_7,p3.5km_1,p3.5km_2,p3.5km_3,p3.5km_4,p3.5km_5,p3.5km_6,p3.5km_7,p4km_1,p4km_2,p4km_3,p4km_4,p4km_5,p4km_6,p4km_7
Hatchet Creek Wildlife Management Area,Y,HC,Natural,0,0,0.435897436,0,0,0,0.564102564,0,0.02244898,0.833163265,0,0,0.048469388,0.095918367,0,0.031377551,0.431122449,0,0,0.023214286,0.514285714,0,0.017966933,0.445159441,0,0,0.00579784,0.531075786,0,0.012234668,0.42304479,0,0,0.022670953,0.54204959,0.000629216,0.01063296,0.49585434,0,7.96E-06,0.06425175,0.428623768,0.001493427,0.023216934,0.523948357,0.001121345,0.017207546,0.100487785,0.332524606,0.008735077,0.029291531,0.527513016,0.000778654,0.028541193,0.123600636,0.281539894,0.015742585,0.038212304,0.530746668,0.003544292,0.030036769,0.136752981,0.244964401,0.029904499,0.044027561,0.513893119,0.003712928,0.02847109,0.143088081,0.236902721
Paynes Prairie Preserve State Park (Northside),N,NA,Natural,0,0.019292605,0.945337621,0,0,0,0.035369775,0,0.046381244,0.659531091,0,0.014780836,0.012232416,0.267074414,0,0.027901644,0.553573704,0,0.02968531,0.023697286,0.365142056,0.038287571,0.029304963,0.42008027,0,0.05370453,0.029432376,0.429190291,0.061226801,0.03182378,0.37201829,0.004883988,0.043885106,0.026982262,0.459179773,0.052440034,0.029950944,0.368537572,0.018244513,0.034068104,0.048275093,0.448483738,0.049495464,0.033722352,0.363444093,0.019223321,0.038823769,0.060355723,0.434935277,0.038643,0.03910312,0.346856142,0.020061231,0.060119985,0.057769834,0.437446688,0.031287461,0.049453536,0.334774796,0.014738807,0.079791868,0.05219951,0.437754022,0.024745774,0.076759677,0.312967343,0.011932918,0.097159512,0.044349284,0.432085493
Paynes Prairie Preserve State Park (Southside),Y,PP,Natural,0,0,0.987301587,0,0,0,0.012698413,0,0.0382263,0.835881753,0,0,0,0.125891947,0,0.031719745,0.696178344,0,0,0,0.272101911,0,0.023314329,0.600216581,0,0.007038889,0,0.3694302,0.006695354,0.035217847,0.606177278,0.000226481,0.013518104,0.041446083,0.296718852,0.005080063,0.040051278,0.612657159,0.0001274,0.018982554,0.085835543,0.237266003,0.016526609,0.052922861,0.603030133,0.001773438,0.050690775,0.060755546,0.214300639,0.025133862,0.052564525,0.562935516,0.003680543,0.06044938,0.04481415,0.250422024,0.045584905,0.048255205,0.528989784,0.004188757,0.056780924,0.032925031,0.283275394,0.061294124,0.044934426,0.506637045,0.003207042,0.052234379,0.025208428,0.306484556
Sweetwater Preserve,Y,SW,Natural,0,0,0.993569132,0.006430868,0,0,0,0,0,0.856195818,0.129015808,0,0,0.014788373,0,0.016063233,0.748852626,0.184472208,0.041305456,0,0.009306476,0,0.113638536,0.50224601,0.115327025,0.173022396,0.006976966,0.088789066,0.001543319,0.148540926,0.38010959,0.07788806,0.196313025,0.019440157,0.176164923,0.025309399,0.195912906,0.330814074,0.045139608,0.196414635,0.016636669,0.189772709,0.024661346,0.217136043,0.308911517,0.029574249,0.196256205,0.01778634,0.205674301,0.024535187,0.244983772,0.286808975,0.021636411,0.18522792,0.025345712,0.211462024,0.026816546,0.2626997,0.257236541,0.016077446,0.201057788,0.024868947,0.211243031,0.033028597,0.270062036,0.247423809,0.016386883,0.200701982,0.027296871,0.205099822
San Felasco Preserve State Park (N of Millhopper),Y,SF,Natural,0,0.118589744,0.881410256,0,0,0,0,0,0.057172027,0.942827973,0,0,0,0,0,0.072602216,0.923194498,0,0.000127372,0,0.004075914,0,0.058484375,0.870385118,0.020545982,0.009811104,0.001529003,0.039244418,0.057576058,0.048869573,0.756133471,0.009131192,0.066509053,0.003156986,0.058623667,0.131349892,0.047382797,0.668495616,0.005136454,0.104520876,0.005670009,0.037444355,0.128865218,0.051716317,0.67479422,0.003771565,0.108672052,0.003924467,0.028256161,0.124197464,0.064956714,0.661813111,0.004873612,0.116099553,0.003132278,0.024927267,0.120890236,0.078058205,0.657949617,0.006284909,0.104940037,0.002977336,0.02889966,0.139842167,0.078016811,0.627674188,0.008098714,0.097570784,0.003338629,0.045458708
San Felasco Preserve State Park (S of Millhopper),N,NA,Natural,0,0.083067093,0.916932907,0,0,0,0,0,0.053598775,0.946401225,0,0,0,0,0,0.104559348,0.853667855,0.027763627,0.013881814,0,0.000127356,6.37E-05,0.061338941,0.874709237,0.020552528,0.010802027,0.001178982,0.031354555,0.075961552,0.051287496,0.735620957,0.009130675,0.071927068,0.004006172,0.052066081,0.144366674,0.049314,0.652174259,0.005136045,0.10698104,0.005478449,0.036549533,0.13109248,0.054891567,0.664692541,0.00585612,0.111205117,0.003924467,0.028337708,0.129952681,0.068621726,0.650035923,0.00577245,0.118244977,0.003164053,0.02420819,0.122935751,0.082112314,0.650931008,0.006843776,0.109599228,0.003159266,0.024418656,0.143412018,0.079533985,0.625133137,0.008471016,0.100348198,0.003270947,0.039830699
Devils Millhopper Geological State Park ,N,NA,Manicured,0,0.195512821,0.801282051,0.003205128,0,0,0,0,0.124745418,0.627800407,0.081466395,0.16496945,0.00101833,0,0,0.239327131,0.350707277,0.022046642,0.369950299,0.002166433,0.015802217,0,0.266868429,0.303153871,0.005511309,0.390570245,0.002676011,0.031220134,0,0.208712641,0.275862557,0.003312899,0.417524387,0.013251596,0.081335919,0.000238903,0.195366875,0.287185245,0.011093061,0.403753962,0.013641359,0.088720595,0.007706069,0.182856036,0.304410093,0.007099572,0.396938978,0.010764032,0.090225219,0.016326776,0.177594835,0.315457525,0.005011644,0.386229304,0.014164266,0.085215649,0.040227688,0.181279433,0.322011332,0.004209995,0.366862474,0.013805352,0.071603725,0.044252844,0.187040878,0.332856876,0.004331917,0.354779243,0.013815949,0.062922292
Devils Millhopper Geological State Park (Trail around ravine),N,NA,Manicured,0,0.028753994,0.936102236,0,0.012779553,0.022364217,0,0,0.113092206,0.68262863,0,0.191034131,0.006622517,0.006622517,0,0.14429573,0.529636711,0.021797323,0.262332696,0.002166985,0.039770554,0,0.277528269,0.305430801,0.005510432,0.366682593,0.005096353,0.039751553,0,0.207622499,0.270001274,0.00392168,0.404527629,0.009542282,0.104384636,0,0.175427279,0.309130151,0.00666603,0.384662557,0.012081681,0.112032303,0.004923071,0.175961553,0.317176216,0.007099211,0.380223118,0.011762368,0.102854464,0.022694292,0.168249935,0.334128507,0.00493031,0.366764825,0.01262839,0.090603742,0.04831198,0.178579323,0.329285449,0.004194371,0.352119159,0.014850623,0.072659096,0.046103555,0.187352679,0.344313404,0.004640616,0.336792062,0.01315538,0.067642304
Devils Millhopper Geological State Park ,N,NA,Natural,0,0.167202572,0.790996785,0.041800643,0,0,0,0,0.104431992,0.673458991,0.088130413,0.13346918,0.000509424,0,0,0.232309065,0.347826087,0.022057886,0.381486676,0.002167538,0.014152748,0,0.261812968,0.300143381,0.005512187,0.396845627,0.002198502,0.033487335,0,0.208143964,0.277690467,0.002732589,0.417491399,0.013181554,0.080760028,0.000430053,0.194797955,0.291671312,0.011006164,0.401414396,0.013459057,0.087221063,0.00894923,0.181828375,0.307392798,0.007099247,0.394199309,0.010982683,0.089548359,0.017374777,0.17707478,0.317488745,0.004965739,0.383940454,0.014235354,0.084920152,0.040546584,0.180053046,0.324042437,0.004196895,0.36568115,0.01390124,0.071578646,0.044278548,0.18614429,0.334543717,0.00422838,0.354296066,0.013861682,0.062647316
Loblolly Woods (N of 8th),N,NA,Natural,0,0,1,0,0,0,0,0,0.067141404,0.836215666,0,0.09664293,0,0,0,0.118186449,0.524707081,0.003948039,0.353158431,0,0,0,0.200426643,0.282443963,0.034449822,0.474560621,0,0.008118951,0,0.252204561,0.153717675,0.047049498,0.542583759,0,0.004444507,0,0.290471564,0.134868054,0.045460337,0.517311398,0.005183864,0.006704783,0,0.323873394,0.14121622,0.029414313,0.489239723,0.006543309,0.009713042,0,0.365865225,0.138664562,0.021367854,0.451357874,0.007095486,0.015648998,0.000787825,0.38230851,0.136582398,0.018767404,0.434887403,0.006549611,0.020116848,0.001096878,0.384104233,0.134322713,0.017569948,0.433997233,0.008231559,0.020677436
